,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
117,Domantas Sabonis,IND,25,62,29,33,36.0,109.6,111.5,-1.9,28.3,1.95,24.9,6.6,25.9,16.2,12.8,56.4,60.1,23.9,102.10,15.4,"4,746"
118,Jonas Valanciunas,MEM,29,62,32,30,28.3,112.8,108.9,3.8,9.7,1.12,10.7,13.4,28.9,21.0,9.6,60.6,63.6,21.7,101.97,16.3,"3,725"
119,Josh Jackson,DET,24,62,16,46,25.2,104.9,108.3,-3.4,15.0,1.01,13.2,3.5,12.3,7.9,13.1,47.3,51.6,25.4,100.67,8.0,"3,267"
120,Obi Toppin,NYK,23,62,36,26,11.0,109.1,106.5,2.7,6.5,1.26,10.7,3.7,15.5,9.7,8.5,56.0,57.4,15.7,97.43,9.3,"1,381"
121,Tobias Harris,PHI,28,62,44,18,32.5,113.3,106.1,7.2,17.5,2.06,16.5,3.2,17.0,10.4,8.0,55.6,59.7,23.7,100.42,14.5,"4,223"
122,Trey Burke,DAL,28,62,35,27,14.7,111.5,110.2,1.3,12.9,2.45,16.5,1.1,4.7,2.9,6.7,51.0,54.4,19.3,99.91,7.6,"1,893"
123,Brad Wanamaker,CHA,31,61,29,32,17.3,101.4,107.1,-5.7,25.1,2.45,29.8,1.6,8.0,4.7,12.2,41.1,48.9,16.6,100.41,7.5,"2,201"
124,Brandon Ingram,NOP,23,61,29,32,34.3,115.1,114.2,1.0,21.8,1.92,17.6,1.6,12.6,7.1,9.2,53.1,58.4,27.9,99.97,12.8,"4,358"
125,DeMar DeRozan,SAS,31,61,27,34,33.7,113.0,115.5,-2.5,30.9,3.55,25.7,1.9,10.6,6.2,7.2,50.5,59.1,25.5,100.09,13.9,"4,289"
126,Dennis Schroder,LAL,27,61,38,23,32.1,110.8,108.6,2.2,26.2,2.15,25.4,1.6,9.3,5.5,11.8,48.4,54.3,22.7,99.67,9.7,"4,059"
127,Giannis Antetokounmpo,MIL,26,61,40,21,33.0,117.1,107.3,9.8,28.2,1.72,18.7,4.8,26.4,16.0,10.8,60.0,63.3,32.0,104.17,19.6,"4,359"
128,Isaiah Roby,OKC,23,61,19,42,23.4,99.5,113.6,-14.1,11.8,0.95,15.3,5.7,16.9,11.2,16.1,52.0,55.5,17.1,102.90,8.4,"3,052"
129,Kevon Looney,GSW,25,61,34,27,19.0,112.1,106.1,6.0,13.2,3.22,31.7,9.8,16.5,13.2,9.9,55.8,57.5,9.2,102.37,8.0,"2,467"
130,Landry Shamet,BKN,24,61,39,22,23.0,113.6,112.4,1.1,9.7,2.06,15.6,0.8,6.7,4.0,7.5,54.9,57.8,16.4,101.34,6.3,"2,972"
