,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
77,BOS @ CLE,05/12/2021,,L,48,94,36,101,35.6,12,41,29.3,10,14,71.4,13,33,46,14,7,9,8,23,-8,WAS @ ATL,05/12/2021,,L,48,108.4,112.1,-3.7,64.4,4.14,19.7,21.1,82.2,48.0,6.5,49.5,53.0,107.00,48.6
78,UTA vs. POR,05/12/2021,,L,48,98,35,85,41.2,12,40,30.0,16,21,76.2,15,38,53,15,12,4,4,22,-7,HOU @ LAL,05/12/2021,,L,48,119.6,122.8,-3.2,76.7,2.20,22.4,24.5,77.3,49.5,14.7,61.2,63.0,101.50,48.4
79,LAL vs. HOU,05/12/2021,,W,48,124,52,91,57.1,7,20,35.0,13,22,59.1,8,33,41,28,11,8,3,20,2,POR @ UTA,05/12/2021,,W,48,115.4,108.9,6.5,42.5,3.40,13.9,27.3,66.7,46.2,5.5,51.1,53.3,90.50,53.7
80,NOP @ DAL,05/12/2021,,L,48,107,36,87,41.4,7,28,25.0,28,38,73.7,11,33,44,18,13,5,2,18,-18,CLE vs. BOS,05/12/2021,,W,48,102.0,94.0,8.0,75.0,1.69,19.7,24.4,75.8,55.0,16.0,50.0,55.5,100.00,64.0
81,WAS @ ATL,05/12/2021,,L,48,116,45,101,44.6,10,29,34.5,16,19,84.2,9,33,42,29,7,10,1,20,-4,SAS @ BKN,05/12/2021,,L,48,117.2,128.0,-10.8,48.8,2.63,14.9,34.4,85.7,53.1,8.1,46.5,51.4,99.50,39.6
82,BKN vs. SAS,05/12/2021,,W,48,128,48,79,60.8,12,28,42.9,20,27,74.1,3,40,43,33,11,3,9,19,12,BKN vs. SAS,05/12/2021,,W,48,128.0,117.2,10.8,68.8,3.00,24.1,14.3,65.6,46.9,11.0,68.4,70.4,99.50,60.4
83,HOU @ LAL,05/12/2021,,L,48,122,43,85,50.6,18,42,42.9,18,27,66.7,8,33,41,33,15,7,4,23,-2,BOS @ CLE,05/12/2021,,L,48,94.0,102.0,-8.0,38.9,2.00,10.9,24.2,75.6,45.0,7.0,41.6,43.9,100.00,36.0
84,SAS @ BKN,05/12/2021,,L,48,116,43,101,42.6,8,31,25.8,22,27,81.5,16,30,46,21,8,7,2,19,-12,UTA vs. POR,05/12/2021,,L,48,108.9,115.4,-6.5,42.9,1.25,12.3,33.3,72.7,53.8,13.3,48.2,52.0,90.50,46.3
85,ATL vs. WAS,05/12/2021,,W,48,120,44,86,51.2,10,33,30.3,22,28,78.6,7,44,51,22,14,4,5,21,4,NOP @ DAL,05/12/2021,,L,48,105.9,121.4,-15.4,50.0,1.38,13.4,27.3,74.0,49.5,12.9,45.4,51.6,102.00,41.7
86,POR @ UTA,05/12/2021,,W,48,105,40,91,44.0,13,32,40.6,12,17,70.6,9,30,39,17,5,7,6,18,7,LAL vs. HOU,05/12/2021,,W,48,122.8,119.6,3.2,53.8,2.55,20.1,22.7,75.5,50.5,10.9,61.0,61.6,101.50,51.6
87,CLE vs. BOS,05/12/2021,,W,48,102,36,80,45.0,8,24,33.3,22,27,81.5,7,48,55,27,16,4,6,13,8,DAL vs. NOP,05/12/2021,,W,48,121.4,105.9,15.4,48.9,2.88,16.5,26.0,72.7,50.5,7.8,56.8,59.6,102.00,58.3
88,LAC @ TOR,05/11/2021,,W,48,115,39,78,50.0,11,32,34.4,26,26,100,9,40,49,25,18,10,4,17,19,DEN @ CHA,05/11/2021,,W,48,114.7,107.7,7.0,63.4,1.53,18.8,22.7,65.3,45.2,16.7,57.2,61.9,103.00,49.5
