Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2016-05-07,home,Portland,Golden State,1610612757,0041500223,49.8,150,129,125,110,140.0,123,125.4,140.0,110.0,42.7,3.5,-110,2.5,-102,3.0,-110,2.0,-105,4.0,-105,2.5,-110,2.92,-107.0,4.0,2.0,-102,-110,38.7,212.5,-110,212.5,-104,212.5,-110,213.5,-105,214,-115,212.5,-110,212.92,-109.0,214.0,212.5,-104,-115,120,12,W,228
2016-05-08,away,Cleveland,Atlanta,1610612739,0041500204,54.8,-210,-238,-230,-245,-250.0,-225,-237.6,-225.0,-250.0,63.5,-5.0,-110,-5.5,-105,-5.5,-110,-6.0,-105,-6.0,-115,-5.5,-110,-5.58,-109.17,-5.0,-6.0,-105,-115,57.9,201.0,-110,202.5,-100,202.5,-110,202.5,-105,204,-105,202.5,-110,202.5,-106.67,204.0,201.0,-100,-110,100,1,W,199
2016-05-08,home,Atlanta,Cleveland,1610612737,0041500204,45.2,180,212,190,210,210.0,195,203.4,212.0,190.0,36.5,5.0,-110,5.5,-105,5.5,-110,6.0,-105,6.0,-105,5.5,-110,5.58,-107.5,6.0,5.0,-105,-110,42.1,201.0,-110,202.5,-110,202.5,-110,202.5,-105,204,-115,202.5,-110,202.5,-110.0,204.0,201.0,-105,-115,99,-1,L,199
2016-05-08,away,San Antonio,Oklahoma City,1610612759,0041500234,9.1,-115,112,110,125,,105,113.0,125.0,105.0,51.0,-1.0,-110,2.0,-108,2.0,-110,2.5,-105,1.5,-115,2.0,-110,1.5,-109.67,2.5,-1.0,-105,-115,59.7,198.5,-110,199.0,-105,199.0,-110,199.5,-105,200,-110,199.0,-110,199.17,-108.33,200.0,198.5,-105,-110,97,-14,L,208
2016-05-08,home,Oklahoma City,San Antonio,1610612760,0041500234,90.9,-105,-124,-130,-145,,-125,-131.0,-124.0,-145.0,49.0,1.0,-110,-2.0,-102,-2.0,-110,-2.5,-105,-1.5,-105,-2.0,-110,-1.5,-107.0,1.0,-2.5,-102,-110,40.3,198.5,-110,199.0,-105,199.0,-110,199.5,-105,200,-110,199.0,-110,199.17,-108.33,200.0,198.5,-105,-110,111,14,W,208
2016-05-09,away,Toronto,Miami,1610612761,0041500214,33.3,185,185,175,175,170.0,175,176.0,185.0,170.0,50.0,6.0,-115,4.5,-104,4.5,-110,4.5,-105,5.0,-115,4.5,-110,4.83,-109.83,6.0,4.5,-104,-115,50.0,187.5,-110,194.5,-100,194.0,-110,194.0,-105,194,-110,194.0,-110,193.0,-107.5,194.5,187.5,-100,-110,87,-7,L,181
2016-05-09,home,Miami,Toronto,1610612748,0041500214,66.7,-215,-206,-210,-200,-200.0,-205,-204.2,-200.0,-210.0,50.0,-6.0,-105,-4.5,-106,-4.5,-110,-4.5,-105,-5.0,-105,-4.5,-110,-4.83,-106.83,-4.5,-6.0,-105,-110,50.0,187.5,-110,194.5,-110,194.0,-110,194.0,-105,194,-110,194.0,-110,193.0,-109.17,194.5,187.5,-105,-110,94,7,W,181
2016-05-09,away,Golden State,Portland,1610612744,0041500224,16.7,-195,-260,-275,-280,-280.0,-265,-272.0,-260.0,-280.0,58.4,-4.5,-115,-6.0,-103,-6.5,-110,-6.0,-105,-7.0,-110,-6.0,-110,-6.0,-108.83,-4.5,-7.0,-103,-115,0.0,214.0,-110,214.5,-106,215.0,-110,215.0,-105,216,-110,215.0,-110,214.92,-108.5,216.0,214.0,-105,-110,132,7,W,257
2016-05-09,home,Portland,Golden State,1610612757,0041500224,83.3,170,231,235,230,240.0,225,232.2,240.0,225.0,41.6,4.5,-105,6.0,-107,6.5,-110,6.0,-105,7.0,-110,6.0,-110,6.0,-107.83,7.0,4.5,-105,-110,100.0,214.0,-110,214.5,-104,215.0,-110,215.0,-105,216,-110,215.0,-110,214.92,-108.17,216.0,214.0,-104,-110,125,-7,L,257
2016-05-10,away,Oklahoma City,San Antonio,1610612760,0041500235,0.0,250,289,275,295,270.0,290,283.8,295.0,270.0,42.2,6.5,-110,7.0,-103,7.0,-110,7.5,-105,7.0,-105,7.5,-115,7.08,-108.0,7.5,6.5,-103,-115,56.6,200.5,-110,198.0,-105,199.0,-110,199.0,-105,200,-115,199.0,-110,199.25,-109.17,200.5,198.0,-105,-115,95,4,W,186
2016-05-10,home,San Antonio,Oklahoma City,1610612759,0041500235,100.0,-300,-330,-335,-365,-340.0,-350,-344.0,-330.0,-365.0,57.8,-6.5,-110,-7.0,-107,-7.0,-110,-7.5,-105,-7.0,-115,-7.5,-105,-7.08,-108.67,-6.5,-7.5,-105,-115,43.4,200.5,-110,198.0,-105,199.0,-110,199.0,-105,200,-105,199.0,-110,199.25,-107.5,200.5,198.0,-105,-110,91,-4,L,186
2016-05-11,away,Miami,Toronto,1610612748,0041500215,42.3,165,193,175,180,170.0,185,180.6,193.0,170.0,50.2,4.5,-110,5.0,-101,5.0,-110,5.0,-105,4.5,-115,5.0,-110,4.83,-108.5,5.0,4.5,-101,-115,48.8,187.0,-110,189.0,-107,189.0,-110,189.5,-105,188,-115,189.0,-115,188.58,-110.33,189.5,187.0,-105,-115,91,-8,L,190
2016-05-11,home,Toronto,Miami,1610612761,0041500215,57.7,-190,-216,-210,-210,-200.0,-215,-210.2,-200.0,-216.0,49.8,-4.5,-110,-5.0,-109,-5.0,-110,-5.0,-105,-4.5,-105,-5.0,-110,-4.83,-108.17,-4.5,-5.0,-105,-110,51.2,187.0,-110,189.0,-103,189.0,-110,189.5,-105,188,-105,189.0,-105,188.58,-106.33,189.5,187.0,-103,-110,99,8,W,190
2016-05-11,away,Portland,Golden State,1610612757,0041500225,54.7,635,951,850,1060,,875,934.0,1060.0,850.0,0.0,13.5,-110,13.5,-105,13.0,-110,14.0,-105,13.5,-105,13.5,-105,13.5,-106.67,14.0,13.0,-105,-110,62.6,220.5,-110,217.5,-105,217.5,-110,218.0,-105,219,-105,217.5,-115,218.33,-108.33,220.5,217.5,-105,-115,121,-4,L,246
2016-05-11,home,Golden State,Portland,1610612744,0041500225,45.3,-850,-1313,-1300,-1410,,-1300,-1330.75,-1300.0,-1410.0,100.0,-13.5,-110,-13.5,-105,-13.0,-110,-14.0,-105,-13.5,-115,-13.5,-115,-13.5,-110.0,-13.0,-14.0,-105,-115,37.4,220.5,-110,217.5,-105,217.5,-110,218.0,-105,219,-115,217.5,-105,218.33,-108.33,220.5,217.5,-105,-115,125,4,W,246
2016-05-12,away,San Antonio,Oklahoma City,1610612759,0041500236,41.0,-148,-104,-105,-105,,-118,-108.0,-104.0,-118.0,40.3,-2.5,-112,1.0,-108,0.0,-110,1.0,-105,-1.5,-105,0.0,-105,-0.33,-107.5,1.0,-2.5,-105,-112,50.0,194.5,-110,198.0,-105,198.0,-110,198.0,-105,198,-115,198.0,-110,197.42,-109.17,198.0,194.5,-105,-115,99,-14,L,212
